ts,Close,Low,High,Open,Volume
2021-01-04 12:48:00,11.85,11.85,11.9,11.9,15
2021-01-04 12:49:00,11.85,11.85,11.9,11.85,11
2021-01-04 12:50:00,11.85,11.85,11.85,11.85,17
2021-01-04 12:51:00,11.85,11.85,11.85,11.85,17
2021-01-04 12:52:00,11.85,11.85,11.9,11.9,13
2021-01-04 12:53:00,11.85,11.85,11.9,11.85,32
2021-01-04 12:54:00,11.85,11.85,11.9,11.85,71
2021-01-04 12:55:00,11.85,11.85,11.9,11.85,15
2021-01-04 12:56:00,11.85,11.85,11.9,11.9,9
2021-01-04 12:57:00,11.85,11.85,11.9,11.85,35
2021-01-04 12:58:00,11.9,11.9,11.9,11.9,1
2021-01-04 12:59:00,11.85,11.85,11.9,11.9,11
2021-01-04 13:00:00,11.85,11.85,11.9,11.9,8
2021-01-04 13:01:00,11.85,11.85,11.9,11.85,13
2021-01-04 13:02:00,11.85,11.85,11.85,11.85,12
2021-01-04 13:03:00,11.85,11.85,11.9,11.85,19
2021-01-04 13:04:00,11.9,11.85,11.9,11.85,46
2021-01-04 13:05:00,11.9,11.85,11.9,11.85,11
2021-01-04 13:06:00,11.85,11.85,11.85,11.85,3
2021-01-04 13:07:00,11.85,11.85,11.85,11.85,44
2021-01-04 13:08:00,11.85,11.85,11.9,11.85,22
2021-01-04 13:09:00,11.9,11.85,11.9,11.85,15
2021-01-04 13:10:00,11.9,11.85,11.9,11.9,15
2021-01-04 13:11:00,11.9,11.85,11.9,11.9,27
2021-01-04 13:12:00,11.85,11.85,11.9,11.85,39
2021-01-04 13:13:00,11.9,11.85,11.9,11.85,19
2021-01-04 13:14:00,11.85,11.85,11.9,11.9,37
2021-01-04 13:15:00,11.85,11.85,11.85,11.85,28
2021-01-04 13:16:00,11.9,11.85,11.9,11.85,4
2021-01-04 13:17:00,11.9,11.85,11.9,11.9,15
2021-01-04 13:18:00,11.85,11.85,11.85,11.85,36
2021-01-04 13:19:00,11.85,11.85,11.9,11.85,18
2021-01-04 13:20:00,11.85,11.85,11.9,11.85,9
2021-01-04 13:21:00,11.85,11.85,11.85,11.85,65
2021-01-04 13:22:00,11.9,11.85,11.9,11.85,62
2021-01-04 13:23:00,11.85,11.85,11.9,11.85,38
2021-01-04 13:24:00,11.85,11.85,11.9,11.85,34
2021-01-04 13:25:00,11.9,11.85,11.9,11.9,207
2021-01-04 13:30:00,11.9,11.9,11.9,11.9,338
2021-01-05 09:01:00,11.95,11.9,12.0,11.9,212
2021-01-05 09:02:00,11.95,11.9,11.95,11.9,99
2021-01-05 09:03:00,11.85,11.8,11.95,11.95,452
2021-01-05 09:04:00,11.8,11.8,11.85,11.85,123
2021-01-05 09:05:00,11.8,11.75,11.8,11.75,127
2021-01-05 09:06:00,11.6,11.6,11.75,11.75,410
2021-01-05 09:07:00,11.7,11.6,11.75,11.6,459
2021-01-05 09:08:00,11.7,11.65,11.7,11.7,23
2021-01-05 09:09:00,11.65,11.65,11.7,11.7,17
2021-01-05 09:10:00,11.65,11.65,11.65,11.65,31
2021-01-05 09:11:00,11.65,11.65,11.65,11.65,27
2021-01-05 09:12:00,11.65,11.65,11.7,11.7,75
2021-01-05 09:13:00,11.65,11.6,11.7,11.7,109
2021-01-05 09:14:00,11.7,11.65,11.7,11.65,31
2021-01-05 09:15:00,11.65,11.65,11.65,11.65,13
2021-01-05 09:16:00,11.7,11.7,11.7,11.7,31
2021-01-05 09:17:00,11.7,11.65,11.7,11.65,46
2021-01-05 09:18:00,11.7,11.65,11.7,11.7,43
